Time,A_Temp,A_AccX,A_AccY,A_AccZ,A_GyroX,A_GyroY,A_GyroZ,A_AccAngX,A_AccAngY,A_AngleX,A_AngleY,A_AngleZ;B_Temp,B_AccX,B_AccY,B_AccZ,B_GyroX,B_GyroY,B_GyroZ,B_AccAngX,B_AccAngY,B_AngleX,B_AngleY,B_AngleZ
Uptime 00:00:06, 23.56,  0.08,  0.04,  0.96, -1.99, -2.11,  1.50,  2.33,  4.82, -1.61,-14.08,-47.63; 30.62,  0.07,  0.04,  1.01, -6.11, -3.10,  2.48,  2.15,  3.73,  0.06, -9.96,  3.23
Uptime 00:00:06, 23.42,  0.09,  0.02,  1.03, -2.36, -3.32,  1.21,  1.21,  5.01, -1.85,-14.31,-47.48; 30.72,  0.03, -0.02,  1.04, -0.10, -0.79,  3.85, -0.93,  1.43,  0.03, -9.88,  3.72
Uptime 00:00:06, 23.47,  0.18,  0.03,  0.95,  2.38, -8.74,  1.88,  1.52, 10.72, -1.49,-15.32,-47.24; 30.72,  0.12, -0.02,  0.96, -7.26, -5.42,  1.76, -1.18,  7.40, -0.89,-10.50,  3.95
Uptime 00:00:06, 23.52,  0.16,  0.02,  0.95,  0.68,  1.00, -1.33,  1.27,  9.36, -1.35,-15.08,-47.41; 30.81,  0.06,  0.02,  1.04,  0.68, -0.97,  4.08,  1.14,  3.56, -0.76,-10.48,  4.46
Uptime 00:00:06, 23.52,  0.16,  0.04,  1.04,  1.81, -3.65,  2.16,  2.00,  8.66, -1.06,-15.41,-47.13; 30.72,  0.12, -0.01,  1.01, -1.30, -0.58,  2.36, -0.82,  6.82, -0.93,-10.48,  4.76
Uptime 00:00:06, 23.56,  0.14,  0.02,  0.97, -2.22,  2.77, -1.42,  1.24,  8.07, -1.29,-14.92,-47.31; 30.86,  0.08,  0.01,  1.02, -0.17, -2.06,  2.33,  0.63,  4.76, -0.92,-10.62,  5.06
Uptime 00:00:07, 23.52,  0.19,  0.06,  1.02, -2.49, -3.93, -3.98,  3.19, 10.49, -1.50,-15.31,-47.81; 30.81,  0.11,  0.01,  1.03,  3.08,  0.92, -0.04,  0.53,  6.37, -0.51,-10.43,  5.05
Uptime 00:00:07, 23.66,  0.11,  0.01,  0.98,  1.93,  0.19, -1.17,  0.78,  6.16, -1.22,-15.11,-47.96; 30.72,  0.08, -0.01,  1.02, -2.07, -0.81,  0.92, -0.66,  4.53, -0.77,-10.41,  5.17
Uptime 00:00:07, 23.61,  0.20,  0.01,  0.97,  0.18,-10.10, -2.13,  0.34, 11.80, -1.16,-16.29,-48.23; 30.86,  0.09, -0.02,  1.01, -0.48, -3.07,  2.46, -1.04,  5.21, -0.84,-10.68,  5.48
Uptime 00:00:07, 23.56,  0.22,  0.04,  0.98,  0.29, -3.20, -5.68,  2.23, 12.38, -1.06,-16.60,-48.95; 30.76,  0.11, -0.00,  1.04, -1.58, -3.36,  0.55, -0.01,  5.89, -1.01,-11.00,  5.55
Uptime 00:00:07, 23.52,  0.20,  0.03,  1.03, -1.23,  4.44, -7.51,  1.37, 10.98, -1.16,-15.94,-49.91; 30.86,  0.06, -0.03,  1.03,  5.41, -2.43, -0.32, -1.85,  3.37, -0.35,-11.15,  5.51
Uptime 00:00:07, 23.66,  0.21, -0.01,  0.90, -2.26, -1.43, -7.36, -0.46, 13.34, -1.43,-16.06,-50.84; 30.95,  0.14, -0.01,  0.96, -3.90, -2.52, -2.88, -0.37,  8.22, -0.83,-11.41,  5.15
Uptime 00:00:07, 23.52,  0.15,  0.00,  0.95,  1.80,  5.64, -9.34,  0.10,  8.84, -1.17,-15.21,-52.03; 30.86,  0.06,  0.01,  1.02,  3.15, -2.81, -0.15,  0.79,  3.38, -0.41,-11.60,  5.13
Uptime 00:00:08, 23.61,  0.11,  0.05,  1.03,  0.59, -3.84, -5.17,  2.70,  6.05, -1.02,-15.50,-52.68; 30.86,  0.08,  0.00,  1.05,  0.50,  0.48,  0.13,  0.23,  4.13, -0.33,-11.39,  5.14
Uptime 00:00:08, 23.56,  0.12,  0.02,  0.98,  1.74, -0.85, -5.52,  1.30,  7.19, -0.76,-15.44,-53.38; 30.95,  0.11, -0.02,  1.03, -1.99, -2.17, -0.39, -1.17,  6.16, -0.59,-11.55,  5.09
Uptime 00:00:08, 23.61,  0.21,  0.00,  0.98, -2.19, -3.32, -0.18,  0.22, 12.23, -1.02,-15.79,-53.40; 30.95,  0.10, -0.02,  1.02,  3.40, -0.21,  1.56, -1.28,  5.39, -0.18,-11.46,  5.29
